answer_concept_coverage,answer_deterministic_score,answer_latency_s,answer_path,atomic_support_proxy,behavior_ok,citation_precision_proxy,context_precision,context_recall,context_score,expected_behavior,family,id,judge_actionability,judge_answer_relevance,judge_citation_quality,judge_context_relevance,judge_faithfulness,judge_latency_s,judge_scientific_correctness,judge_score,judge_summary,judge_uncertainty_calibration,judge_unsupported_claims_count,overall_score,retrieval_mrr,retrieval_ndcg_at_10,retrieval_precision_at_10,retrieval_recall_at_10,retrieval_score,task_type
0.6666666666666666,0.9444444444444444,10.087530667020474,raw/tasks/d93_nu_minus2_hysteresis_caution/answer.md,1.0,True,1.0,0.18571428571428572,1.0,0.5928571428571429,caution,uncertainty,d93_nu_minus2_hysteresis_caution,5,5,5,5,5,6.473489791969769,5,1.0,"The answer correctly gives a cautious negative conclusion for D93, explicitly states there is not enough local evidence for robust hysteretic nu=-2 magnetism, and grounds the reasoning in the supplied D93 claim, open question, and follow-up edge. It avoids forbidden overclaims and appropriately notes missing raw loops, repeatability, and quantitative criteria.",5,0,0.8403114362828061,1.0,0.9197207891481876,0.2,1.0,0.8239441578296375,claim_lookup
1.0,0.8333333333333334,16.032212292018812,raw/tasks/moire_exciton_exclude_polariton/answer.md,1.0,True,1.0,0.24444444444444444,0.5,0.37222222222222223,answer,hard_negative,moire_exciton_exclude_polariton,4,4,3,3,3,17.214021000021603,3,0.6571428571428571,"The answer mostly addresses the request and correctly applies the exclusion logic, but it violates the forbidden-term constraint and relies on at least one key reference not supported by the supplied visible context. The arXiv PL/RMCD twisted MoTe2 reference is supported, and the caveat about incomplete context helps, but the unsupported 'strongest local hit' claim and verbatim distractor title reduce faithfulness and citation quality.",3,3,0.5130365801968846,0.14285714285714285,0.20438239758848611,0.1,0.5,0.1894479080891258,paper_lookup
1.0,0.8333333333333334,12.452595875016414,raw/tasks/a5_dot_project_context/answer.md,1.0,True,1.0,0.0,0.0,0.0,answer,project_context,a5_dot_project_context,5,5,4,5,5,9.270897416980006,5,0.9714285714285714,"The answer correctly identifies the A5 AAtA dot project, explicitly ties PL dispersion and peak-tracking interpretation to loading project-local context first, and names both context/projects and knowledge/projects plus the NAS project root. It appropriately caveats that the supplied context does not include the specific A5 note contents or analysis files. Citations are file-level rather than highly specific, but they are attached to the right claims.",5,0,0.6550512419573786,1.0,0.8772153153380493,0.2,1.0,0.8154430630676098,project_status
1.0,0.8333333333333334,16.05115225003101,raw/tasks/b79_project_context/answer.md,1.0,True,1.0,0.9583333333333334,0.5,0.7291666666666667,answer,project_context,b79_project_context,4,5,4,4,4,14.064533333992586,4,0.8571428571428572,"The answer correctly routes B79 RMCD/PL questions to project-specific local context under context/projects and knowledge/projects before generic optical-keyword handling, and it names RMCD and PL-related observables. It appropriately caveats that the supplied context does not expose a B79-specific project summary or data. Minor issues: some listed observables, such as RMCD sign/field dependence and spatial/domain contrast, are plausible but not directly supported by the supplied context, so the answer slightly extends beyond the evidence.",5,2,0.8099107142857143,1.0,1.0,0.6,0.5,0.82,project_status
1.0,0.8402777777777778,23.81406500004232,raw/tasks/fci_evidence_hierarchy/answer.md,1.0,True,0.375,0.887107282695518,1.0,0.943553641347759,answer,multi_hop,fci_evidence_hierarchy,4,4,3,4,4,9.025018416985404,4,0.8,"The answer addresses the requested evidence hierarchy and explains what each probe can rule out, with good caveats that no single probe proves an FCI. It is mostly faithful to the supplied context, especially on compressibility/magneto-optics and local probes. Weaknesses are incomplete separation of compressibility versus thermodynamics, some under-specified citations, and a few claims relying on context items not fully visible in the provided pack.",5,2,0.8959578547813842,1.0,1.0,1.0,1.0,1.0,synthesis
1.0,1.0,16.702984750038013,raw/tasks/optical_control_chern_states/answer.md,1.0,True,1.0,0.8799013603110242,1.0,0.9399506801555121,answer,multi_hop,optical_control_chern_states,3,5,3,4,3,9.298433833988383,4,0.7428571428571429,"The answer directly addresses the question and clearly separates passive PL/RMCD probe logic from active optical pumping/control of integer and fractional Chern states. It includes the required concepts and calibrates uncertainty reasonably. Main weakness is unsupported expansion beyond the supplied context via uncited/unprovided graph claims about magneto-optics, switching, bistability, and domain-wall writing.",4,2,0.9007019557531637,1.0,1.0,0.6,1.0,0.92,synthesis
1.0,0.9761904761904762,17.431337958027143,raw/tasks/minus_one_third_interpretation/answer.md,1.0,True,0.8571428571428571,0.8715026161979944,0.6666666666666666,0.7690846414323305,caution,uncertainty,minus_one_third_interpretation,5,5,3,4,4,10.864183166995645,4,0.8571428571428572,"Strong cautious answer that directly addresses nu=-1/3 optical FQAH interpretation, includes PL/RMCD, artifacts, trivial magnetic order, exciton/trion effects, disorder/domains, and concrete separating evidence. Main weaknesses are missing explicit CDW/inhomogeneity wording and reliance on a few citations not available in the supplied context.",5,2,0.8856044936914159,1.0,1.0,0.7,1.0,0.94,synthesis
1.0,0.9583333333333334,21.680154417001177,raw/tasks/displacement_field_topology/answer.md,1.0,True,0.75,0.36863553113553116,1.0,0.6843177655677656,answer,multi_hop,displacement_field_topology,3,4,3,4,4,19.7194504160434,4,0.7714285714285715,"The answer is mostly relevant and careful, with good caveats and reasonably specific provenance IDs. It correctly identifies displacement field as a layer-potential knob and describes the MoTe2/WSe2 sequence into QAH and AFM valley-coherent regimes. Main weaknesses are missing PL, generic transport discussion, incomplete phase-by-observable distinctions, and a few inferred mechanisms/observable expectations that are plausible but not directly supported by the supplied context.",5,3,0.8385199175824176,1.0,1.0,0.7,1.0,0.94,synthesis
1.0,0.7063492063492063,15.987033832992893,raw/tasks/low_conf_superconductivity_arxiv/answer.md,1.0,True,0.5714285714285714,0.4326665618332285,0.6666666666666666,0.5496666142499476,caution,freshness,low_conf_superconductivity_arxiv,4,5,3,4,4,7.929596666013822,4,0.8285714285714286,"The answer follows the required cautious posture: it identifies the relevant records as low-confidence arXiv/source-reading leads, refuses to promote them as lab knowledge from the supplied context alone, and specifies what must be read before promotion. It is mostly faithful, though it references several nodes that are not visible in the supplied context excerpt beyond the answer's own claim that they were excluded by budget, so citation specificity is only moderate. It gives useful promotion discipline and avoids forbidden terms.",5,1,0.7711468122926456,1.0,1.0,1.0,1.0,1.0,synthesis
1.0,0.5555555555555556,9.028940332995262,raw/tasks/b79_exact_curie_temperature_abstain/answer.md,1.0,True,0.0,0.0,0.0,0.0,abstain,abstention,b79_exact_curie_temperature_abstain,3,5,4,3,5,25.625090209010523,5,0.8571428571428571,"The answer correctly abstains from inventing an exact value for B79, states that the supplied context lacks a local project note with that information, and avoids numeric temperature claims or forbidden unit terms. Citations are file-specific but not line-specific. The main limitation is that it gives only a minimal next action rather than a concrete follow-up search target.",5,0,0.4031746031746032,0.0,0.0,0.0,0.0,0.2,project_status
